PhyId,PhyCoreId,PimId,PhyResetPath,IoControlType,IoControllerId,IoControllerResetPath,IoPath,PhyAddr
91,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_rtm_0,MDIO,23,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_9,8
92,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_rtm_0,MDIO,24,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_10,8
93,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_rtm_0,MDIO,24,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_10,4
94,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_rtm_0,MDIO,24,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_10,2
95,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_rtm_0,MDIO,24,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_10,0
96,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_rtm_0,MDIO,25,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_11,0
97,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_rtm_0,MDIO,25,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_11,2
98,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_rtm_0,MDIO,25,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_11,4
99,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_rtm_0,MDIO,25,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_11,8
100,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_rtm_0,MDIO,26,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_12,8
101,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_rtm_0,MDIO,26,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_12,4
102,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_rtm_0,MDIO,26,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_12,2
103,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_rtm_0,MDIO,26,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_12,0
104,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_rtm_0,MDIO,27,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_13,0
105,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_rtm_0,MDIO,27,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_13,2
106,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_rtm_0,MDIO,27,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_13,4
107,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_rtm_0,MDIO,27,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_13,8
108,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_rtm_0,MDIO,28,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_14,8
109,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_rtm_0,MDIO,28,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_14,4
110,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_rtm_0,MDIO,28,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_14,2
111,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_rtm_0,MDIO,28,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_14,0
