A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYEP,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,40,TH6_NIF,2,2,0,Y,Y,1,58,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,40,TH6_NIF,3,0,1,N,N,1,58,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,40,TH6_NIF,4,4,4,Y,Y,1,58,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,40,TH6_NIF,5,5,6,N,N,1,58,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,40,TH6_NIF,6,1,3,Y,N,1,58,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,40,TH6_NIF,7,3,2,N,N,1,58,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,41,TH6_NIF,0,7,5,Y,N,1,59,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,41,TH6_NIF,1,6,4,N,Y,1,59,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,41,TH6_NIF,2,1,0,Y,Y,1,59,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,41,TH6_NIF,3,2,2,N,N,1,59,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,41,TH6_NIF,4,4,6,Y,Y,1,59,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,41,TH6_NIF,5,5,7,N,Y,1,59,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,41,TH6_NIF,6,0,1,N,Y,1,59,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,41,TH6_NIF,7,3,3,Y,N,1,59,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,42,TH6_NIF,0,3,3,Y,N,1,60,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,42,TH6_NIF,1,0,1,N,Y,1,60,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,42,TH6_NIF,2,5,7,N,Y,1,60,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,42,TH6_NIF,3,4,6,Y,Y,1,60,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,42,TH6_NIF,4,2,2,N,N,1,60,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,42,TH6_NIF,5,1,0,Y,Y,1,60,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,42,TH6_NIF,6,6,4,N,Y,1,60,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,42,TH6_NIF,7,7,5,Y,N,1,60,BACKPLANE,0,EXAMAX,7,7,7,N,N
